sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:581090	Acnistus arborescens	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:642408	Alysicarpus vaginalis	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:582263	Anacardium occidentale	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:1232823	Anadenanthera macrocarpa	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:486414	Brunfelsia uniflora	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:703645	Caesalpinia pulcherrima	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:585682	Carica papaya	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:581911	Cedrela odorata	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5405972	Ceiba speciosa	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:589814	Celtis iguanaea	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:585468	Chamissoa altissima	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:488255	Citrus limonia	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:1091712	Cocos nucifera	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5349756	Cordia trichotoma	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:417417	Delonix regia	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:487855	Duranta repens	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:2508574	Eugenia brasiliensis	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5310416	Eugenia involucrata	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5450483	Eugenia pyriformis	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:2508562	Eugenia uniflora	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5222161	Gallesia integrifolia	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:582736	Grevillea robusta	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:584815	Guazuma ulmifolia	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5637441	Handroanthus roseo-albus	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:1155969	Joannesia princeps	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:418348	Leucaena leucocephala	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:487035	Ligustrum lucidum	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:582945	Malpighia emarginata	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:584862	Muntingia calabura	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:489435	Murraya paniculata	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:1114535	Paspalum notatum	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:486314	Piper umbellatum	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:247656	Pontederia cordata	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:248309	Ravenala madagascariensis	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:1151096	Ricinus communis	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:582274	Schinus terebinthifolia	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
